"","coef.parasites","coef.high","exp.coef.parasites","exp.coef.high","p.parasites","p.high","high.CI_low","high.CI_high","converge.issue","infection.length","arena.size","tol.diff","initial.parasites"
"9313",0.0443251535814358,-1.86217669920411,1.04532218988996,0.155334146399911,0.0447459358619539,9.10008903658012e-17,0.100151943508787,0.240920906698848,"no",110,10,"10x",90
"9314",0.0168562612906136,-2.50043055858843,1.01699912967637,0.0820496638301555,0.388506964054625,1.96570101658765e-22,0.0496178389558191,0.135679978739823,"no",110,10,"10x",90
"9315",0.0504476634924934,-2.74496646313068,1.05174181742104,0.0642504556675068,0.0217504586104933,1.13594066341391e-21,0.0366071192997781,0.112768257444045,"no",110,10,"10x",90
"9316",0.0401824345451893,-2.37777836886933,1.04100067135398,0.092756419322127,0.045451650769,2.86615238670554e-22,0.0573850069530222,0.149930335157154,"no",110,10,"10x",90
"9317",0.0243869812843837,-2.14224400720792,1.02468677577936,0.117391120714038,0.232368684383105,2.34601259317954e-20,0.0745421162218614,0.184870995364312,"no",110,10,"10x",90
"9318",0.0405538859764876,-2.22234053489637,1.04138742436887,0.108355202669708,0.0437603704550645,8.14786134681859e-21,0.0680299347907149,0.172583583707859,"no",110,10,"10x",90
"9319",0.0489766190757723,-2.62876526560649,1.05019579590464,0.0721675149620396,0.0323809984029019,7.60233719611385e-22,0.0422068779171963,0.1233957703769,"no",110,10,"10x",90
"9320",0.018242469991367,-2.72589185731081,1.01840988029007,0.0654877709182212,0.42687738414478,3.03844317726499e-23,0.0382410701386091,0.112147702046327,"no",110,10,"10x",90
"9321",0.0535539516650133,-2.33342980887219,1.05501390998922,0.0969626128928213,0.0117857248814428,7.36801941926463e-20,0.0587309939333247,0.160081545864465,"no",110,10,"10x",90
"9322",0.0907641783301346,-2.9241713281306,1.09501074754527,0.053709180764082,0.000105561550867533,8.52229975036166e-24,0.0303782723712927,0.0949585303302118,"no",110,10,"10x",90
"9323",0.067458612151977,-2.16202793934519,1.06978598254198,0.115091485666871,0.00051507031351274,7.82469183651152e-21,0.0731929911444681,0.180974296389427,"no",110,10,"10x",90
"9324",0.0367350694335015,-1.9764924719493,1.03741814065198,0.138554369343434,0.0495260093516418,9.09473642308422e-19,0.0894184418695907,0.214690760236624,"no",110,10,"10x",90
"9325",0.0565648951813963,-2.63059926489459,1.05819528434697,0.0720352810864572,0.00326898835851845,2.42423904557777e-24,0.0434107532247692,0.119534477882409,"no",110,10,"10x",90
"9326",0.0657657665771536,-2.35392431178339,1.06797653206766,0.094995637282008,0.00150561783466598,2.07573986103744e-22,0.0591489020629686,0.15256700949424,"no",110,10,"10x",90
"9327",0.0557255755371216,-2.67463668261604,1.05730749287987,0.0689318679916767,0.0218372886170605,1.03146419113377e-23,0.0408911720611295,0.116201179504432,"no",110,10,"10x",90
"9328",0.0400179935988047,-2.55875339501573,1.04082950229238,0.0774011690097221,0.0726867681322056,2.72621974944414e-19,0.0442778574593719,0.135303316552041,"no",110,10,"10x",90
"9329",0.0536151041336057,-2.3197042969888,1.05507842866693,0.0983026496965042,0.00486606853797678,8.84705963760164e-22,0.0611871539691403,0.157932021846078,"no",110,10,"10x",90
"9330",0.0324086880495525,-2.336770230553,1.03293956911083,0.0966392572512619,0.139871212773014,4.03632277135555e-20,0.0587012303446123,0.159096257220659,"no",110,10,"10x",90
"9331",0.0085256863941901,-2.21176658918338,1.00856213356385,0.109507023614618,0.644599721590555,1.68688924179529e-19,0.067763661463633,0.176964880024498,"no",110,10,"10x",90
"9332",0.0521348195253135,-2.56891064407861,1.05351776770462,0.0766189653022356,0.0116893836358761,2.98090241801493e-23,0.0461533119808327,0.127194898741463,"no",110,10,"10x",90
"9333",0.0162254069596665,-2.80139329643615,1.01635775369953,0.0607253951788028,0.420374154648834,7.68869361390982e-25,0.0356181766363974,0.103530667986343,"no",110,10,"10x",90
"9334",0.0342619691693228,-2.21673463741097,1.03485567150189,0.108964336603856,0.105636228260067,4.32938246026288e-20,0.0678782633165678,0.174919422969685,"no",110,10,"10x",90
"9335",0.0288098691482475,-2.31783946290445,1.02922888770571,0.0984861388634909,0.140822318361226,5.79824543649595e-22,0.0614560636519265,0.157828519626228,"no",110,10,"10x",90
"9336",0.0390944170372963,-2.50303555066648,1.0398686603334,0.0818362032581326,0.09217824459756,3.22290946531165e-22,0.0493336233965248,0.135752529464077,"no",110,10,"10x",90
"9337",0.0329021359172448,-2.09699987532819,1.03344939671499,0.122824364455871,0.056895811823105,5.99194249046082e-19,0.0773659500982114,0.194993074922986,"no",110,10,"10x",90
"9338",0.0669722809854296,-2.60988892032623,1.06926583876845,0.0735427124098657,0.00417030781503262,6.22194214445207e-22,0.0432264309235073,0.125120914057676,"no",110,10,"10x",90
"9339",0.01358878856024,-2.83110642907805,1.0136815357788,0.0589475962401849,0.507292235020785,1.10345151705374e-23,0.0339038293613268,0.102490461046843,"no",110,10,"10x",90
"9340",0.023968225253982,-2.15677896209162,1.024257771843,0.115697186521544,0.228377817003181,1.92890585208215e-21,0.0741743449461246,0.180464539036018,"no",110,10,"10x",90
"9341",0.0555953723000141,-2.40061979539457,1.05716983698349,0.090661744140644,0.00669703181444904,1.18378220469832e-22,0.056079587157132,0.146569407288838,"no",110,10,"10x",90
"9342",0.0227761888199517,-2.40475600762125,1.02303754668203,0.0902875223898511,0.265201621519963,4.95124401208644e-21,0.0547148716843945,0.148987586890803,"no",110,10,"10x",90
"9343",0.0185459801236136,-2.28068850994002,1.01871902491941,0.10221380726065,0.379565700011848,4.09508380191697e-20,0.0628294833365863,0.16628598294765,"no",110,10,"10x",90
"9344",0.0515037265728745,-2.52004062062834,1.05285310981866,0.0804563384961304,0.0100982988967888,8.27685670067732e-22,0.0480875803471332,0.134613186138192,"no",110,10,"10x",90
"9345",0.0073798548540143,-2.10033466403313,1.00740715309388,0.122415453347616,0.706986283219081,2.58933245492939e-21,0.0792886936413725,0.188999749271729,"no",110,10,"10x",90
"9346",0.0495566430032009,-1.95601125626299,1.05080511128642,0.14142139109076,0.0140269402912067,1.11907237182125e-17,0.0903717797327213,0.221308133105231,"no",110,10,"10x",90
"9347",0.0481434626003268,-2.35292858623138,1.04932118287215,0.0950902739736459,0.0280767923843574,7.93829508994201e-19,0.0565076328440809,0.160016616327438,"no",110,10,"10x",90
"9348",0.0344423970992968,-2.24881396009558,1.03504240521401,0.105524306409458,0.124065761960484,2.07686896644078e-23,0.0678177929948511,0.164195541486326,"no",110,10,"10x",90
"9349",0.00908648710551743,-2.36774644679943,1.00912789455053,0.0936916276173933,0.653826054528167,3.27556503973644e-22,0.058042104372517,0.151237126573804,"no",110,10,"10x",90
"9350",0.056528002949694,-2.32467045909092,1.05815624588147,0.0978156730064839,0.00579083821379491,9.43140664181128e-22,0.0608023703754124,0.157360738185637,"no",110,10,"10x",90
"9351",0.0297676489214502,-2.45126063061686,1.03021513454459,0.0861848707018195,0.181133844541354,9.02115602521422e-24,0.0534385219572789,0.13899770550966,"no",110,10,"10x",90
"9352",0.0399366173293473,-2.70690593560221,1.04074480691649,0.0667429946947696,0.0775444612871061,1.35672962938635e-23,0.0392878459393894,0.11338436186342,"no",110,10,"10x",90
"9353",0.0370085658748059,-2.44822716595687,1.03770190962473,0.0864467063951986,0.0664746420390405,2.9621739806238e-22,0.052716885212773,0.14175786403949,"no",110,10,"10x",90
"9354",0.0765957978081167,-2.24211182524161,1.07960560923443,0.106233919847629,0.000495183731102044,9.35311364050551e-19,0.0646299521001546,0.174619435098813,"no",110,10,"10x",90
"9355",0.0560289860437532,-2.72714582566169,1.05762833975364,0.0654057027922903,0.0108739757520869,4.51921754848052e-28,0.0402061917862936,0.106399183003742,"no",110,10,"10x",90
"9356",0.0434678147475497,-2.83176577850682,1.0444263786444,0.0589087419869493,0.0352346542617947,5.31928711492839e-29,0.0358518107392232,0.096793992016933,"no",110,10,"10x",90
"9357",0.0543204502749293,-2.26117899452417,1.05582288668481,0.104227528601204,0.0077297390246408,5.01026935453213e-21,0.0650759142473169,0.166933923925051,"no",110,10,"10x",90
"9358",-0.00511582335930407,-1.9779983034193,0.994897240178606,0.138345886822936,0.789201389525776,6.81166003241893e-18,0.0882266164089413,0.216936625021528,"no",110,10,"10x",90
"9359",0.0267887279066565,-3.09812406351498,1.02715077154429,0.045133791152712,0.190977744806312,8.50456262464611e-24,0.0246773956215439,0.0825475724852517,"no",110,10,"10x",90
"9360",0.0215012963575869,-2.75951742836494,1.0217341148693,0.0633223185425167,0.257691901663521,2.79308345875775e-25,0.0376230091390974,0.106576164888233,"no",110,10,"10x",90
"9361",0.0107693855975135,-2.07255317651114,1.01082758416389,0.125864018065623,0.630700744944231,7.77302847624579e-20,0.0806091814428355,0.196525392766304,"no",110,10,"10x",90
"9362",0.0611145322183251,-2.2083379696746,1.06302065732932,0.109883125919544,0.00368745277749447,2.50165991435693e-21,0.0696116199465535,0.17345238296596,"no",110,10,"10x",90
"9363",0.0302426607824421,-2.41773527180517,1.03070461519823,0.0891232289650353,0.168978467165401,2.44267646346102e-22,0.0547389229535441,0.145106069183991,"no",110,10,"10x",90
"9364",0.0697295208898699,-2.33026470881136,1.07221812942399,0.0972699954564629,0.00062294742230591,4.00811082049682e-23,0.0613337360731354,0.154261791664188,"no",110,10,"10x",90
"9365",0.0456149223010337,-2.61117581051871,1.04667128357478,0.0734481318849655,0.0354918992926487,9.41605535162645e-21,0.0424690559082201,0.127024911715712,"no",110,10,"10x",90
"9366",0.0842187670815331,-2.23471782724325,1.08786685723605,0.107022324377181,0.000112170237146148,6.40433231090731e-21,0.0671041428678576,0.170686598853509,"no",110,10,"10x",90
"9367",0.0236147216552991,-1.96454694938772,1.02389575702521,0.140219398712073,0.25369068401191,2.30631849817673e-19,0.0914021567953611,0.215109582361333,"no",110,10,"10x",90
"9368",0.0482870222671974,-2.6792590532389,1.04947183388505,0.0686139746265862,0.0384414196283738,3.37185572161084e-21,0.0393634695724361,0.119600166479087,"no",110,10,"10x",90
"9369",0.054994264395239,-2.24990841137679,1.05653455479349,0.105408878373813,0.00846423552451148,1.0224288052159e-18,0.0639813300264818,0.17366052933608,"no",110,10,"10x",90
"9370",0.00549413296345857,-2.24568479903117,1.0055092533905,0.1058550261282,0.783761690916895,2.68167611941225e-22,0.0672804508682824,0.16654594926153,"no",110,10,"10x",90
"9371",0.0507390744035948,-2.32082270489357,1.05204835112376,0.0981927686933683,0.0104794242834709,5.73088896739808e-22,0.0612394208944039,0.15744466036501,"no",110,10,"10x",90
"9372",0.0355887938742605,-1.93025898755935,1.03622965488887,0.14511061177341,0.0947735119364901,1.63759514409034e-17,0.0930649014547334,0.226262418163044,"no",110,10,"10x",90
"9373",0.0472853190328771,-2.21352454901499,1.04842110090389,0.109314683778212,0.0111298680474672,1.30953235411509e-21,0.069400737598758,0.172184050241915,"no",110,10,"10x",90
"9374",0.0327047310966924,-2.26485852292855,1.03324540895703,0.10384472514918,0.122153602626143,6.4458348672064e-21,0.0647008873902672,0.166670464289968,"no",110,10,"10x",90
"9375",0.0338985958728755,-2.31673502503943,1.03447970089817,0.0985949707724093,0.125563177202534,1.4430982412187e-18,0.0588315585535364,0.165233906777537,"no",110,10,"10x",90
"9376",0.00819631596283468,-2.23172322066796,1.00822999771974,0.107343294483196,0.691775360746142,2.03446432326588e-19,0.0660647939797956,0.174413362645619,"no",110,10,"10x",90
"9377",0.0521192427117091,-2.32236276092532,1.05350135738253,0.0980416627133716,0.0196827606188536,5.65802169611879e-19,0.0587844274539732,0.163515543893468,"no",110,10,"10x",90
"9378",0.061916566846217,-2.70766623219929,1.06387357869717,0.0666922695085607,0.00439820602601023,6.80937672877944e-21,0.0378684036349483,0.117455672414393,"no",110,10,"10x",90
"9379",0.0442378122013602,-2.3419656473024,1.04523089399429,0.0961384780402738,0.044029841307942,1.79824088319616e-19,0.0578110136504538,0.159876230778175,"no",110,10,"10x",90
"9380",0.0453855687083243,-2.26341435147534,1.04643125328247,0.103994803079855,0.0509208688433698,4.13196846525632e-21,0.0649660943367747,0.166470205389827,"no",110,10,"10x",90
"9381",0.0253369777893378,-2.65874556790429,1.02566068716799,0.0700360220973265,0.232970909846841,1.31031178543273e-21,0.0405805897344069,0.120871688246028,"no",110,10,"10x",90
"9382",0.0281580010637113,-2.33790926621534,1.02855818487076,0.09652924435707,0.177922082792892,2.1191894847927e-21,0.0595881313579315,0.156371659990084,"no",110,10,"10x",90
"9383",0.0471448632777525,-2.48800383071751,1.04827385446752,0.0830756341989617,0.021462309852698,9.39301832046446e-21,0.0492940150159126,0.140008092165586,"no",110,10,"10x",90
"9384",0.0539748449710478,-2.0439509681841,1.05545805174329,0.129515985127268,0.00358199699763008,4.29343725906427e-20,0.0837163254788946,0.200371794957908,"no",110,10,"10x",90
"9385",0.0696345113644955,-2.85706773329662,1.07211626332762,0.0574369339889432,0.000161858804401453,6.5218799468094e-26,0.0337412219775299,0.0977736191133564,"no",110,10,"10x",90
"9386",0.0769677558593259,-1.75829601219502,1.0800072519254,0.172338276087379,0.000459104622511822,8.22738186445475e-16,0.112325543891733,0.264414311969833,"no",110,10,"10x",90
"9387",0.0570994871869646,-2.37830732943461,1.05876113832334,0.0927073678084309,0.00723279624245614,2.54897801904966e-21,0.0566972873115667,0.151588487800797,"no",110,10,"10x",90
