"","intercept.coef","coef.high","p.intercept","p.high","infection.length","arena.size","initial.parasites","resist.diff"
"7793",2.36649841873894,-0.0549535843700318,0,0.210877406328935,10,6,90,"10%"
"7794",2.38600670113934,-0.0675482589881646,0,0.121634561653165,10,6,90,"10%"
"7795",2.36743606531433,-0.0728831440170986,0,0.0984359739677907,10,6,90,"10%"
"7796",2.39151130218898,-0.0939387510168798,0,0.0320421102958905,10,6,90,"10%"
"7797",2.36555989215685,-0.0913742736821795,0,0.0394123466165981,10,6,90,"10%"
"7798",2.40514168131974,-0.15912693981344,0,0.000326083111586664,10,6,90,"10%"
"7799",2.41233595695372,-0.11375888535692,0,0.00906061417143314,10,6,90,"10%"
"7800",2.46640317822368,-0.183000904644942,0,2.29735486151991e-05,10,6,90,"10%"
"7801",3.24765762629365,-0.0502097488390723,0,0.0753760783738456,30,6,90,"10%"
"7802",3.25924971900648,-0.100123898544048,0,0.000430566985065722,30,6,90,"10%"
"7803",3.27827616814965,-0.0944059524802628,0,0.0007899191458362,30,6,90,"10%"
"7804",3.28802868355652,-0.0991997800406131,0,0.000400852629866467,30,6,90,"10%"
"7805",3.2812870849896,-0.145358180942322,0,3.28823886091069e-07,30,6,90,"10%"
"7806",3.25153660710775,-0.0569534748085932,0,0.0436519756214486,30,6,90,"10%"
"7807",3.30321697330195,-0.151336017258029,0,8.04527426444918e-08,30,6,90,"10%"
"7808",3.29361217098222,-0.123926590304789,0,1.05632347070681e-05,30,6,90,"10%"
"7809",3.27336401015227,-0.118067166926941,0,3.16574553874756e-05,30,6,90,"10%"
"7810",3.25848107946056,-0.0614419492015337,0,0.0291496016152972,30,6,90,"10%"
"7811",3.24765762629365,-0.0534844140658243,0,0.0584176538431361,30,6,90,"10%"
"7812",3.29657733253205,-0.116858222865046,0,3.07270125753992e-05,30,6,90,"10%"
"7813",3.27184770963431,-0.0933772994011437,0,0.000933058083011721,30,6,90,"10%"
"7814",3.31200180285769,-0.140217585523335,0,5.48075685325781e-07,30,6,90,"10%"
"7815",3.28914787785353,-0.113597177723706,0,5.34155259511545e-05,30,6,90,"10%"
"7816",3.25655689183589,-0.0760061812893562,0,0.00723516212286075,30,6,90,"10%"
"7817",3.28053520525492,-0.0867720812018042,0,0.00197105955997496,30,6,90,"10%"
"7818",3.2801590532851,-0.0971176814261134,0,0.000553345840872341,30,6,90,"10%"
"7819",3.3057871968575,-0.107522325893421,0,0.000112355285694541,30,6,90,"10%"
"7820",3.28166281296697,-0.0696102134468898,0,0.0125952820438927,30,6,90,"10%"
"7821",3.28765534026303,-0.117969759585597,0,2.81801798586141e-05,30,6,90,"10%"
"7822",3.2511493854185,-0.0652100607965604,0,0.0211929495061241,30,6,90,"10%"
"7823",3.26918863874179,-0.102027249560268,0,0.00031383990006635,30,6,90,"10%"
"7824",3.28316431475056,-0.0918652576525985,0,0.00105234160277235,30,6,90,"10%"
"7825",3.26116873705845,-0.112286284010787,0,8.16793113369461e-05,30,6,90,"10%"
"7826",3.27752202030093,-0.0957252036741533,0,0.000672020213527144,30,6,90,"10%"
"7827",3.27487801498348,-0.104352451056332,0,0.000220782415646276,30,6,90,"10%"
"7828",3.29212628660779,-0.134700424055816,0,1.83277000145765e-06,30,6,90,"10%"
"7829",3.28578653015083,-0.0830400872125105,0,0.00295732208968399,30,6,90,"10%"
"7830",3.29435428604411,-0.148909739261788,0,1.43929143454308e-07,30,6,90,"10%"
"7831",3.27070897350822,-0.101023392830788,0,0.000354537496352685,30,6,90,"10%"
"7832",3.2801590532851,-0.051729015612087,0,0.0627070874963042,30,6,90,"10%"
"7833",3.27714473299218,-0.0903789620422098,0,0.00130579475664204,30,6,90,"10%"
"7834",3.25385679376345,-0.0866954045819248,0,0.00228143999621495,30,6,90,"10%"
"7835",3.30211342343826,-0.108760555801142,0,9.68827809000565e-05,30,6,90,"10%"
"7836",3.27412129909418,-0.0931550472991998,0,0.000946244366038172,30,6,90,"10%"
"7837",3.25732701124245,-0.0817763111126258,0,0.00389550143231305,30,6,90,"10%"
"7838",3.27298515051524,-0.0991066915777677,0,0.000448465148866916,30,6,90,"10%"
"7839",3.31382230217715,-0.147925402099841,0,1.30674741846305e-07,30,6,90,"10%"
"7840",3.26461371654206,-0.0819870243489735,0,0.00368024308453722,30,6,90,"10%"
"7841",3.2812870849896,-0.0953477603676632,0,0.000688655896889309,30,6,90,"10%"
"7842",3.26001776819937,-0.0753193951327617,0,0.00766141700324195,30,6,90,"10%"
"7843",3.2812870849896,-0.106572155907166,0,0.00015529809206094,30,6,90,"10%"
"7844",3.2699490950522,-0.0948161931319189,0,0.000789294947736839,30,6,90,"10%"
"7845",3.28503802712187,-0.137443404258633,0,1.25076598642942e-06,30,6,90,"10%"
"7846",3.28578653015083,-0.091203397851672,0,0.00112448492740612,30,6,90,"10%"
"7847",3.2577118486534,-0.0909717782057266,0,0.00135530280122872,30,6,90,"10%"
"7848",3.28578653015083,-0.117783035656383,0,2.94901390327838e-05,30,6,90,"10%"
"7849",3.26690379387878,-0.0809644692568456,0,0.00407663671944681,30,6,90,"10%"
"7850",3.28166281296696,-0.109459396297195,0,0.000103307595656866,30,6,90,"10%"
"7851",3.30761903470259,-0.140036504221939,0,5.99142673552907e-07,30,6,90,"10%"
"7852",3.27601201623901,-0.116886195776583,0,3.68600487318233e-05,30,6,90,"10%"
"7853",3.26804686887465,-0.0958434522048801,0,0.000702120510702998,30,6,90,"10%"
"7854",3.27146827498737,-0.0942481253880042,0,0.000839462884134041,30,6,90,"10%"
"7855",3.26499576048175,-0.0944701965545993,0,0.000849004978928315,30,6,90,"10%"
"7856",3.25963381734037,-0.0836654934834458,0,0.00312527199262256,30,6,90,"10%"
"7857",3.2604015716967,-0.0572487072937347,0,0.0416772069434009,30,6,90,"10%"
"7858",3.27070897350822,-0.112857850477791,0,6.95549265861763e-05,30,6,90,"10%"
"7859",3.26918863874179,-0.0395707173416864,0,0.155486770009053,30,6,90,"10%"
"7860",3.29805662274264,-0.123759841272409,0,1.03673852110043e-05,30,6,90,"10%"
"7861",3.29212628660779,-0.0893798436694779,0,0.00135577056246117,30,6,90,"10%"
"7862",3.27865302890406,-0.101849980457769,0,0.00030084551638428,30,6,90,"10%"
"7863",3.25308399619794,-0.0922611027783539,0,0.00119189961342805,30,6,90,"10%"
"7864",3.26804686887465,-0.065707012646548,0,0.0192067842002134,30,6,90,"10%"
"7865",3.28391422104742,-0.107528447800175,0,0.00013321633769855,30,6,90,"10%"
"7866",3.28989331210348,-0.0920368544593561,0,0.00099061197151759,30,6,90,"10%"
"7867",3.27714473299218,-0.0739918685892118,0,0.008215637085068,30,6,90,"10%"
"7868",3.26193531432865,-0.0362825051814228,0,0.194027778128389,30,6,90,"10%"
"7869",3.26384919051093,-0.0841300808439247,0,0.00290648526209638,30,6,90,"10%"
"7870",3.26804686887465,-0.102571820733565,0,0.000294320173455663,30,6,90,"10%"
"7871",3.28353933819393,-0.0996691225245361,0,0.000388378117566082,30,6,90,"10%"
"7872",3.25694202567466,-0.0672890594833593,0,0.0171433650077346,30,6,90,"10%"
"7873",3.27676730328399,-0.0949704866571968,0,0.00074265299515794,30,6,90,"10%"
"7874",3.29026582095487,-0.0944539356852254,0,0.000729731925025783,30,6,90,"10%"
"7875",3.25076201373053,-0.0664776336319404,0,0.0188693667909964,30,6,90,"10%"
"7876",3.27563415868681,-0.0855694156727284,0,0.0023256140464267,30,6,90,"10%"
"7877",3.2557861788883,-0.103050156524642,0,0.000300988031934101,30,6,90,"10%"
"7878",3.23750128899137,-0.0408710730704848,0,0.1488648239926,30,6,90,"10%"
"7879",3.29138251565495,-0.102965898271456,0,0.000236522902698466,30,6,90,"10%"
"7880",3.28765534026302,-0.0930722079638708,0,0.000882282820266429,30,6,90,"10%"
"7881",3.28166281296697,-0.10360898261902,0,0.000232474207200022,30,6,90,"10%"
"7882",3.27146827498737,-0.108951183788554,0,0.000120293026556791,30,6,90,"10%"
"7883",3.29249796473881,-0.104493803537702,0,0.000190294759647663,30,6,90,"10%"
"7884",3.31273040033983,-0.151907506920241,0,6.25950230335667e-08,30,6,90,"10%"
"7885",3.28503802712187,-0.0701702236512073,0,0.0117699544413992,30,6,90,"10%"
"7886",3.25308399619794,-0.0527795569151723,0,0.0610653424777976,30,6,90,"10%"
"7887",3.27827616814965,-0.0590004232601197,0,0.0342650051115139,30,6,90,"10%"
"7888",3.29546642702991,-0.121587968092449,0,1.49874818871829e-05,30,6,90,"10%"
"7889",3.28840188751681,-0.0966917307213809,0,0.000554498262910625,30,6,90,"10%"
"7890",3.30468648128131,-0.0999095807926119,0,0.000325647610126865,30,6,90,"10%"
"7891",3.2861605716738,-0.122374713123556,0,1.45262253706812e-05,30,6,90,"10%"
"7892",3.27032910645712,-0.117593084093461,0,3.49233646749907e-05,30,6,90,"10%"
"7893",3.33184730352736,-0.16510723307969,0,3.28258048472056e-09,30,6,90,"10%"
"7894",3.2722270003652,-0.102121339866423,0,0.000303472439967889,30,6,90,"10%"
"7895",3.27298515051523,-0.0517122010473101,0,0.0637386493610718,30,6,90,"10%"
"7896",3.28353933819392,-0.082827483953393,0,0.00306278706973983,30,6,90,"10%"
"7897",3.299164656097,-0.126123367572602,0,7.01466595033609e-06,30,6,90,"10%"
"7898",3.31926399889947,-0.135808119262528,0,1.09057953821087e-06,30,6,90,"10%"
"7899",3.2557861788883,-0.0501982483470326,0,0.0742601598459493,30,6,90,"10%"
"7900",3.28840188751681,-0.0938187552176555,0,0.000799776297449956,30,6,90,"10%"
"7901",3.58878283757564,-0.0995745785907831,0,3.64303773490307e-05,50,6,90,"10%"
"7902",3.5720646995221,-0.0988567818836743,0,4.78467243916456e-05,50,6,90,"10%"
"7903",3.56642929435737,-0.10664858859632,0,1.27073996550524e-05,50,6,90,"10%"
"7904",3.56953269648137,-0.0895241343949244,0,0.0002274531354267,50,6,90,"10%"
"7905",3.55477646959046,-0.0729211849108464,0,0.00275749298766779,50,6,90,"10%"
"7906",3.56246552925827,-0.0677778045087845,0,0.00516041687468203,50,6,90,"10%"
