"","time","avg.parasites","alive.or.dead","resistance.level","sim.num"
"780",7,14.1134020618557,"alive","Higher Infection Resistance","7"
"781",8,13.9270833333333,"alive","Higher Infection Resistance","7"
"782",9,13.8631578947368,"alive","Higher Infection Resistance","7"
"783",10,13.7052631578947,"alive","Higher Infection Resistance","7"
"784",11,13.5789473684211,"alive","Higher Infection Resistance","7"
"785",12,13.4787234042553,"alive","Higher Infection Resistance","7"
"786",13,13.3763440860215,"alive","Higher Infection Resistance","7"
"787",14,13.2150537634409,"alive","Higher Infection Resistance","7"
"788",15,13.0549450549451,"alive","Higher Infection Resistance","7"
"789",16,12.8791208791209,"alive","Higher Infection Resistance","7"
"790",17,12.7582417582418,"alive","Higher Infection Resistance","7"
"791",18,12.6153846153846,"alive","Higher Infection Resistance","7"
"792",19,12.4945054945055,"alive","Higher Infection Resistance","7"
"793",20,12.3888888888889,"alive","Higher Infection Resistance","7"
"824",1,18.77,"alive","Higher Clearance","7"
"825",2,16.9090909090909,"alive","Higher Clearance","7"
"826",3,15.1111111111111,"alive","Higher Clearance","7"
"827",4,13.5151515151515,"alive","Higher Clearance","7"
"828",5,12.2164948453608,"alive","Higher Clearance","7"
"829",6,10.8865979381443,"alive","Higher Clearance","7"
"830",7,9.80412371134021,"alive","Higher Clearance","7"
"831",8,8.76041666666667,"alive","Higher Clearance","7"
"832",9,7.9375,"alive","Higher Clearance","7"
"833",10,7.23958333333333,"alive","Higher Clearance","7"
"834",11,6.65625,"alive","Higher Clearance","7"
"835",12,5.92708333333333,"alive","Higher Clearance","7"
"836",13,5.42708333333333,"alive","Higher Clearance","7"
"837",14,4.86458333333333,"alive","Higher Clearance","7"
"838",15,4.39583333333333,"alive","Higher Clearance","7"
"839",16,3.97916666666667,"alive","Higher Clearance","7"
"840",17,3.42708333333333,"alive","Higher Clearance","7"
"841",18,3.18085106382979,"alive","Higher Clearance","7"
"842",19,2.87234042553191,"alive","Higher Clearance","7"
"843",20,2.59574468085106,"alive","Higher Clearance","7"
"901",1,14.95,"alive","Higher Infection Resistance","8"
"902",2,14.8,"alive","Higher Infection Resistance","8"
"903",3,14.61,"alive","Higher Infection Resistance","8"
"904",4,14.5353535353535,"alive","Higher Infection Resistance","8"
"905",5,14.5051546391753,"alive","Higher Infection Resistance","8"
"906",6,14.4020618556701,"alive","Higher Infection Resistance","8"
"907",7,14.2680412371134,"alive","Higher Infection Resistance","8"
"908",8,14.0631578947368,"alive","Higher Infection Resistance","8"
"909",9,13.9148936170213,"alive","Higher Infection Resistance","8"
"910",10,13.8297872340426,"alive","Higher Infection Resistance","8"
"911",11,13.6989247311828,"alive","Higher Infection Resistance","8"
"912",12,13.5108695652174,"alive","Higher Infection Resistance","8"
"913",13,13.3369565217391,"alive","Higher Infection Resistance","8"
"914",14,13.2608695652174,"alive","Higher Infection Resistance","8"
"915",15,13.1098901098901,"alive","Higher Infection Resistance","8"
"916",16,12.956043956044,"alive","Higher Infection Resistance","8"
"917",17,12.8241758241758,"alive","Higher Infection Resistance","8"
"918",18,12.7032967032967,"alive","Higher Infection Resistance","8"
"919",19,12.5222222222222,"alive","Higher Infection Resistance","8"
"920",20,12.3777777777778,"alive","Higher Infection Resistance","8"
"951",1,18.88,"alive","Higher Clearance","8"
"952",2,16.8585858585859,"alive","Higher Clearance","8"
"953",3,15.4639175257732,"alive","Higher Clearance","8"
"954",4,13.7010309278351,"alive","Higher Clearance","8"
"955",5,12.2371134020619,"alive","Higher Clearance","8"
"956",6,11.1041666666667,"alive","Higher Clearance","8"
"957",7,9.88541666666667,"alive","Higher Clearance","8"
"958",8,9,"alive","Higher Clearance","8"
"959",9,7.96875,"alive","Higher Clearance","8"
"960",10,7.09574468085106,"alive","Higher Clearance","8"
"961",11,6.35106382978723,"alive","Higher Clearance","8"
"962",12,5.78723404255319,"alive","Higher Clearance","8"
"963",13,5.25531914893617,"alive","Higher Clearance","8"
"964",14,4.76595744680851,"alive","Higher Clearance","8"
"965",15,4.12765957446809,"alive","Higher Clearance","8"
"966",16,3.6063829787234,"alive","Higher Clearance","8"
"967",17,3.0531914893617,"alive","Higher Clearance","8"
"968",18,2.72340425531915,"alive","Higher Clearance","8"
"969",19,2.47311827956989,"alive","Higher Clearance","8"
"970",20,2.2258064516129,"alive","Higher Clearance","8"
"1026",1,14.96,"alive","Higher Infection Resistance","9"
"1027",2,14.87,"alive","Higher Infection Resistance","9"
"1028",3,14.7373737373737,"alive","Higher Infection Resistance","9"
"1029",4,14.6363636363636,"alive","Higher Infection Resistance","9"
"1030",5,14.4545454545455,"alive","Higher Infection Resistance","9"
"1031",6,14.2626262626263,"alive","Higher Infection Resistance","9"
"1032",7,14.1717171717172,"alive","Higher Infection Resistance","9"
"1033",8,14.0606060606061,"alive","Higher Infection Resistance","9"
"1034",9,13.9494949494949,"alive","Higher Infection Resistance","9"
"1035",10,13.8181818181818,"alive","Higher Infection Resistance","9"
